Issue Type,Issue Key,Summary,Description,Priority,Status,Epic Name,Epic Link,Labels,Components,Blocked By,Assignee,Reporter
Task,RF-036,Money calculation engine (minor units discounts totals),"Scope: Pure integer math engine for totals and discounts (order-level and item-level; percentage and fixed) with defined rounding; void/cancellation/refund distinct.
Acceptance: no floating point anywhere (D-007); matches MONEY_AND_TAX_SPEC.md; tips DEFERRED (Q-011); service charge per Q-012; tax kept open until Q-001..Q-004 (R-008).
Workstream: Backend/DB. Reviewer: Codex.
Architecture/Security impact: implements D-007 money model and rounding rules (MONEY_AND_TAX_SPEC.md).",High,Backlog,,RF-EPIC-M1,M1;Backend-DB,Backend/DB,RF-030,Claude Code,Saleh
Task,RF-037,Shift + cash drawer session — local,"Scope: Open/close shift with opening float and reconciliation locally. Shift: opening->open->closing->closed->reconciled. Cash drawer session: opened->active->counting->closed->reconciled, bound to a shift (D-018).
Acceptance: terminal state reconciled; variance captured; integer minor units (D-007).
Workstream: Frontend/POS. Reviewer: Codex.
Architecture/Security impact: implements D-018 shift/cash-drawer machines (STATE_MACHINES.md).",Medium,Backlog,,RF-EPIC-M1,M1;Frontend-POS,Frontend/POS,RF-031,Claude Code,Saleh
Task,RF-050,Supabase Auth (owners/managers personal + MFA),"Scope: Email/password personal accounts; MFA for privileged/sensitive roles (Q-008).
Acceptance: no shared accounts (D-004); MFA enforced per resolved Q-008; privileged roles gated.
Workstream: Security. Reviewer: Codex.
Architecture/Security impact: implements D-006 auth direction; MFA method/roles from Q-008.",Highest,Backlog,,RF-EPIC-M2,M2;Security,Security,RF-015,Claude Code,Saleh
Task,RF-051,PIN session flow on paired device,"Scope: PIN-based fast staff session on an already-paired and authorized device; attempt limits; offline validity window (Q-009).
Acceptance: PIN session layered on device session (D-005/D-006); revoked employee/device cannot start a session; offline window bounded (R-007).
Workstream: Security. Reviewer: Codex.
Architecture/Security impact: implements D-006 PIN session; offline staleness control (R-007/Q-009).",High,Backlog,,RF-EPIC-M2,M2;Security,Security,"RF-016,RF-050",Claude Code,Saleh
Task,RF-052,RPC submit_order (idempotent),"Scope: SECURITY DEFINER RPC to submit orders, idempotent via device_id + local_operation_id (D-022).
Acceptance: duplicate submissions deduped; authorize and audit (D-011/D-013); receipt provisional id reconciled later (D-021).
Workstream: Backend/DB. Reviewer: Codex.
Architecture/Security impact: layer-3 sensitive mutation via RPC (D-011/D-012); idempotency D-022.",Highest,Backlog,,RF-EPIC-M2,M2;Backend-DB,Backend/DB,"RF-014,RF-032",Claude Code,Saleh
Task,RF-053,RPC apply_discount / void_order (authorize + audit),"Scope: Permission-gated RPCs; reason required; fully audited. Void is post-submission and distinct from cancellation and refund.
Acceptance: cashier cannot void a paid order without permission (canonical isolation/permission test); reason and old/new values recorded (D-013).
Workstream: Security. Reviewer: Codex.
Architecture/Security impact: implements D-011 RPC authorization + D-013 audit; enforces permission boundaries.",Highest,Backlog,,RF-EPIC-M2,M2;Security,Security,"RF-017,RF-052",Claude Code,Saleh
Task,RF-054,RPC payment (cash) + receipt numbering,"Scope: Cash payment RPC with per-branch monotonic server-assigned receipt sequence (D-021); change due. Payment: pending->tendered->completed plus voided/failed; refunded DEFERRED.
Acceptance: offline provisional id reconciled to authoritative on sync (D-021); integer minor units (D-007); change computed exactly.
Workstream: Backend/DB. Reviewer: Codex.
Architecture/Security impact: implements D-021 receipt numbering and payment state machine (D-018); legal numbering rules pending Q-004.",High,Backlog,,RF-EPIC-M2,M2;Backend-DB,Backend/DB,"RF-052,RF-036",Claude Code,Saleh
Task,RF-055,RPC open/close shift + cash reconciliation,"Scope: RPCs for shift and cash-drawer lifecycle with reconciliation. Per D-028 this single ticket delivers TWO separate RPCs (do NOT split): close_shift (owning cashier or authorized manager) and reconcile_shift (manager/restaurant_owner/org_owner); accountant is read-only and may invoke neither.
Acceptance: enforces shift/cash-drawer state machines (D-018); close_shift restricted to owning cashier/authorized manager; reconcile_shift restricted to manager/restaurant_owner/org_owner; accountant (read-only) rejected from both RPCs (D-028); variance reconciled; audited (D-013).
Workstream: Backend/DB. Reviewer: Codex.
Architecture/Security impact: server-side shift/cash machines (D-018) with split close_shift vs reconcile_shift authorization (D-028); feeds daily reports (RF-075).",High,Backlog,,RF-EPIC-M2,M2;Backend-DB,Backend/DB,RF-037,Claude Code,Saleh
Task,RF-056,Outbox push + server inbox/ledger (idempotent),"Scope: Push local outbox to server inbox/processed-operation ledger; dedupe via ledger; retry with backoff; poison/permanent-rejection handling. Sync operation: created->pending->in_flight->applied plus rejected/dead/conflict->resolved (D-018).
Acceptance: duplicate mutations prevented; poison ops become dead after max retries; ordering of dependent ops preserved.
Workstream: Sync/Offline. Reviewer: Codex.
Architecture/Security impact: implements D-010 outbox/inbox and D-022 idempotency; mitigates R-002.",Highest,Backlog,,RF-EPIC-M2,M2;Sync-Offline,Sync/Offline,"RF-018,RF-052",Claude Code,Saleh
Task,RF-057,Pull sync + conflict resolution + revisions,"Scope: Pull sync with per-entity conflict policy (Q-010) and revision/version handling.
Acceptance: conflicts resolved per documented per-entity rules (LWW vs domain, Q-010); revisions monotonic; tombstones applied (D-020).
Workstream: Sync/Offline. Reviewer: Codex.
Architecture/Security impact: implements OFFLINE_SYNC_SPEC.md conflict rules; Q-010 must be resolved.",High,Backlog,,RF-EPIC-M2,M2;Sync-Offline,Sync/Offline,RF-056,Claude Code,Saleh
Task,RF-058,Realtime enhancement (KDS live updates),"Scope: Supabase Realtime for live KDS updates as an enhancement only.
Acceptance: Realtime never source of truth or only sync mechanism (D-010); fallback polling honored (Q-014); KDS still correct without Realtime.
Workstream: Sync/Offline. Reviewer: Codex.
Architecture/Security impact: enforces D-010 enhancement-only constraint; provider limits per Q-014.",Medium,Backlog,,RF-EPIC-M2,M2;Sync-Offline,Sync/Offline,RF-057,Claude Code,Saleh
Task,RF-059,Full RLS + membership/branch/device-scoped policies,"Scope: Complete RLS policy set across all tenant-scoped tables with membership, branch, and device scoping.
Acceptance: cross-tenant access, IDOR, and platform-admin isolation prevented (D-011/D-012); human RLS sign-off required.
Workstream: Security. Reviewer: Human.
Architecture/Security impact: completes security layers 1 and 2 (D-012); CRITICAL for R-003.",Highest,Backlog,,RF-EPIC-M2,M2;Security,Security,"RF-014,RF-015,RF-016",Claude Code,Saleh
Task,RF-060,Tenant-isolation and permission test suite (mandatory cases),"Scope: Implement the canonical isolation/permission tests: Org A cannot read Org B orders; Cashier A cannot modify Restaurant B; KDS cannot read financial reports; revoked device cannot sync new operations; removed employee cannot create new valid operations; cashier cannot void a paid order without permission; platform-admin access is explicitly audited. Plus platform-admin separation tests SECURITY T-008..T-011 (D-026): a membership cannot grant platform-admin; a platform_admin_grants row is not a membership; platform-admin access is audited; the privileged platform-admin path is enforced.
Acceptance: all canonical cases pass plus T-008..T-011 platform-admin separation cases (SECURITY_AND_THREAT_MODEL.md, D-026).
Workstream: QA/Testing. Reviewer: Codex.
Architecture/Security impact: mandatory test gate for R-003 (CRITICAL) and R-007; enforces platform-admin separation (D-026).",Highest,Backlog,,RF-EPIC-M2,M2;QA-Testing,QA/Testing,RF-059,Claude Code,Saleh
Task,RF-061,Device and employee revocation propagation (incl. offline),"Scope: Server rejects operations from revoked devices/employees on reconnect, including within the offline window.
Acceptance: revoked actor ops rejected and audited (R-007); future access removed (D-005/D-006); offline window bounded (Q-009).
Workstream: Security. Reviewer: Codex.
Architecture/Security impact: implements offline-revocation control (R-007); audit per D-013.",High,Backlog,,RF-EPIC-M2,M2;Security,Security,"RF-016,RF-057",Claude Code,Saleh
Task,RF-070,Printing adapter interface + ESC/POS driver,"Scope: Replaceable printing adapter interface plus an ESC/POS implementation.
Acceptance: adapter abstraction allows swapping models (R-001); ESC/POS driver behind interface; connectivity per Q-015.
Workstream: Hardware/Printing. Reviewer: Codex.
Architecture/Security impact: implements D-009 ESC/POS-behind-adapter; mitigates R-001 (hardware variation). Hardware shortlist Q-006.",High,Backlog,,RF-EPIC-M3,M3;Hardware-Printing,Hardware/Printing,RF-054,Claude Code,Saleh
Task,RF-071,Print job spool + state machine + retry + reprint audit,"Scope: Print job spool with state machine created->queued->printing->printed plus failed->retrying/cancelled/abandoned (after max retries) (D-018); duplicate-print prevention; reprint reason audited.
Acceptance: terminal states printed/cancelled/abandoned honored; reprint reasons recorded (D-013).
Workstream: Hardware/Printing. Reviewer: Codex.
Architecture/Security impact: implements D-018 print-job machine; reprint audit per D-013.",High,Backlog,,RF-EPIC-M3,M3;Hardware-Printing,Hardware/Printing,RF-070,Claude Code,Saleh
Task,RF-072,Kitchen ticket printing routing,"Scope: Route kitchen ticket prints per station.
Acceptance: tickets print at correct station; integrates with KDS routing (RF-034) and print spool (RF-071).
Workstream: Hardware/Printing. Reviewer: Codex.
Architecture/Security impact: extends station routing to physical printers (PRINTERS_AND_HARDWARE_SPEC.md).",Medium,Backlog,,RF-EPIC-M3,M3;Hardware-Printing,Hardware/Printing,"RF-071,RF-034",Claude Code,Saleh
Task,RF-073,Customer receipt printing (ar/he/en 58/80mm raster fallback),"Scope: RTL/LTR localized customer receipts at 58mm and 80mm with encoding/raster fallback for Arabic/Hebrew.
Acceptance: ar/he render correctly via raster fallback (Q-015/R-006); receipt numbering from RF-054 (D-021); languages per D-014.
Workstream: Hardware/Printing. Reviewer: Codex.
Architecture/Security impact: implements D-014 localized receipts; mitigates R-006 (encoding correctness).",High,Backlog,,RF-EPIC-M3,M3;Hardware-Printing,Hardware/Printing,"RF-071,RF-054",Claude Code,Saleh
Task,RF-074,Cash drawer kick,"Scope: Open the cash drawer on cash payment.
Acceptance: drawer kicks on completed cash payment; tied to payment RPC and adapter.
Workstream: Hardware/Printing. Reviewer: Codex.
Architecture/Security impact: hardware integration via adapter (RF-070); pilot hardware per Q-006.",Low,Backlog,,RF-EPIC-M3,M3;Hardware-Printing,Hardware/Printing,RF-070,Claude Code,Saleh
Task,RF-075,Daily reports (sales shift voids/discounts),"Scope: Per-branch daily summary covering sales, shift, voids, and discounts.
Acceptance: figures in integer minor units (D-007); per-branch scoping; sources from shift reconciliation (RF-055).
Workstream: Backend/DB. Reviewer: Codex.
Architecture/Security impact: reporting scoped by branch within organization (D-001); no cross-tenant leakage (R-003).",Medium,Backlog,,RF-EPIC-M3,M3;Backend-DB,Backend/DB,RF-055,Claude Code,Saleh
Task,RF-076,Pilot deployment in one restaurant/branch,"Scope: Run a full day on-site at one restaurant/branch; go/no-go decision.
Acceptance: full-day operation validated; printing/cash/reports verified; pilot criteria met (PILOT_PLAN.md). ASSUMPTION: single pilot branch does not relax multi-tenant design (D-003).
Workstream: Hardware/Printing. Reviewer: Claude Code.
Architecture/Security impact: validates end-to-end M3; surfaces R-001/R-006 in the field. Owner Human.",High,Backlog,,RF-EPIC-M3,M3;Hardware-Printing,Hardware/Printing,"RF-072,RF-073,RF-075",Human,Saleh
Task,RF-090,Self-serve organization signup + onboarding,"Scope: New organization provisions itself, fully isolated, with onboarding flow.
Acceptance: new org isolated by organization_id (D-001); no cross-tenant data exposure (R-003); membership-scoped roles created (D-004).
Workstream: Platform/SaaS. Reviewer: Codex.
Architecture/Security impact: extends tenant model to self-serve (D-002/D-003); isolation CRITICAL (R-003).",High,Backlog,,RF-EPIC-M4,M4;Platform-SaaS,Platform/SaaS,RF-059,Claude Code,Saleh
